name,rssd_id,city,state,county,region
MT. MCKINLEY BANK,542667,FAIRBANKS,AK,FAIRBANKS NORTH STAR,West
FIRST BANK,451068,KETCHIKAN,AK,KETCHIKAN GATEWAY,West
FIRST NATIONAL BANK ALASKA,114260,ANCHORAGE,AK,ANCHORAGE,West
NORTHRIM BANK,1718188,ANCHORAGE,AK,ANCHORAGE,West
DENALI STATE BANK,571265,FAIRBANKS,AK,FAIRBANKS NORTH STAR,West
BANK OF BREWTON,351131,BREWTON,AL,ESCAMBIA,South
"EXCHANGE BANK OF ALABAMA, THE",672537,ALTOONA,AL,ETOWAH,South
PHENIX-GIRARD BANK,432432,PHENIX CITY,AL,RUSSELL,South
"SOUTHERN BANK COMPANY, THE",117775,GADSDEN,AL,ETOWAH,South
STATE BANK & TRUST,386731,WINFIELD,AL,MARION,South
NOVA BANK,5807400,HUNTSVILLE,AL,MADISON,South
MERCHANTS & FARMERS BANK OF GREENE COUNTY,376237,EUTAW,AL,GREENE,South
BANK INDEPENDENT,539032,SHEFFIELD,AL,COLBERT,South
SOUTHPOINT BANK,3386536,BIRMINGHAM,AL,JEFFERSON,South
FIRST JACKSON BANK,248633,STEVENSON,AL,JACKSON,South
UNITED BANK,994435,ATMORE,AL,ESCAMBIA,South
FIRST COMMUNITY BANK OF CULLMAN,812379,CULLMAN,AL,CULLMAN,South
PINNACLE BANK,288376,JASPER,AL,WALKER,South
SERVISFIRST BANK,3348888,HOMEWOOD,AL,JEFFERSON,South
LOCAL BANK,470434,TUSCALOOSA,AL,TUSCALOOSA,South
METRO BANK,1394621,PELL CITY,AL,ST. CLAIR,South
FIRSTSTATE BANK,540739,LINEVILLE,AL,CLAY,South
FARMERS AND MERCHANTS BANK,446130,LAFAYETTE,AL,CHAMBERS,South
NOBLEBANK & TRUST,3385744,ANNISTON,AL,CALHOUN,South
UNION STATE BANK,467733,PELL CITY,AL,ST. CLAIR,South
AUBURNBANK,749635,AUBURN,AL,LEE,South
CENTRAL STATE BANK,353238,CALERA,AL,SHELBY,South
FARMERS & MERCHANTS BANK,291732,WATERLOO,AL,LAUDERDALE,South
WEST ALABAMA BANK & TRUST,501132,REFORM,AL,PICKENS,South
"BANK OF VERNON, THE",382537,VERNON,AL,LAMAR,South
CITIZENS BANK & TRUST,3174920,GUNTERSVILLE,AL,MARSHALL,South
MIDSOUTH BANK,929932,DOTHAN,AL,HOUSTON,South
FIRST METRO BANK,1222519,MUSCLE SHOALS,AL,COLBERT,South
COMMERCEONE BANK,5227101,BIRMINGHAM,AL,JEFFERSON,South
BANK OF WALKER COUNTY,3254297,JASPER,AL,WALKER,South
FIRST COMMUNITY BANK OF CENTRAL ALABAMA,3034257,WETUMPKA,AL,ELMORE,South
FIRST FINANCIAL BANK,292234,BESSEMER,AL,JEFFERSON,South
BRYANT BANK,3356191,TUSCALOOSA,AL,TUSCALOOSA,South
